gene,DoTT_by_Readout,log2FC_4sU,Upregulated,DEstatus.2
LRRK1,TRUE,-0.8617478768147617,FALSE,FALSE
DEF8,TRUE,-1.1015709831396776,FALSE,FALSE
RHOT2,FALSE,-1.3249343369438635,FALSE,FALSE
RP11-29B2.5,FALSE,3.6515872326086236,TRUE,FALSE
RPS2,FALSE,-0.19639105676621413,FALSE,FALSE
ZSCAN32,TRUE,-2.57690446235829,FALSE,FALSE
PGF,TRUE,1.1941429445322744,TRUE,TRUE
IFI27L2,FALSE,-3.857462692610451,FALSE,FALSE
IGFBP6,FALSE,-3.117079467264558,FALSE,FALSE
SPRYD3,FALSE,-2.938677665025567,FALSE,FALSE
LDLRAD3,TRUE,-1.7547690202481645,FALSE,FALSE
ATHL1,FALSE,-2.528600058102043,FALSE,FALSE
ACYP1,TRUE,-1.8950304403984575,FALSE,FALSE
RP11-74E22.6,TRUE,-0.47766110544840484,FALSE,FALSE
NEK9,TRUE,-2.2880448338599098,FALSE,FALSE
SATB2,FALSE,0.6237245358726828,FALSE,FALSE
GTF3C3,TRUE,-0.5201460477984774,FALSE,FALSE
KRT80,FALSE,-4.306545062187977,FALSE,FALSE
OSGIN1,FALSE,-1.1112833335337446,FALSE,FALSE
ACTB,FALSE,-2.613176707048828,FALSE,FALSE
TLDC1,FALSE,-2.8933528304625016,FALSE,FALSE
JUNB,FALSE,-3.3359725364836357,FALSE,FALSE
DNAL1,TRUE,-1.2388324791238998,FALSE,FALSE
NPC2,FALSE,-2.644679447068603,FALSE,FALSE
DUX4L7,FALSE,5.523561956057013,TRUE,FALSE
ATP6V1G1,TRUE,-3.4809225163657986,FALSE,FALSE
ACOT2,FALSE,-3.0428647064717778,FALSE,FALSE
MAP1LC3B,TRUE,-0.6462074064573864,FALSE,FALSE
MBTPS1,TRUE,-2.8386757603332122,FALSE,FALSE
BAAT,TRUE,4.628589433121414,TRUE,TRUE
CDH13,TRUE,-1.3711234647472657,FALSE,FALSE
ZCCHC14,FALSE,-2.92837032301897,FALSE,FALSE
NDUFB3,TRUE,-3.301013200091323,FALSE,FALSE
PCNXL4,TRUE,-2.8861996993040737,FALSE,FALSE
IRF2BPL,FALSE,-5.616249951057186,FALSE,FALSE
ATG14,TRUE,-0.5815990136735316,FALSE,FALSE
KTN1,TRUE,-1.8324212261700763,FALSE,FALSE
SIX1,FALSE,-4.685944195282062,FALSE,FALSE
KCTD2,FALSE,-1.6721064388270306,FALSE,FALSE
AREL1,TRUE,-0.7368765911098906,FALSE,FALSE
MRPL50,TRUE,-1.000753168923861,FALSE,FALSE
LTBP2,FALSE,-3.6145710874147188,FALSE,FALSE
MLH3,TRUE,-0.6326220774195821,FALSE,FALSE
L3HYPDH,FALSE,-3.982414450431142,FALSE,FALSE
TTLL5,FALSE,0.16712636808963874,FALSE,FALSE
TEX10,FALSE,-1.0127592307153415,FALSE,FALSE
CMTM3,FALSE,-2.850901620272265,FALSE,FALSE
NOL3,FALSE,-2.6850788525012375,FALSE,FALSE
CDH11,TRUE,-1.8502111276996651,FALSE,FALSE
RHOJ,FALSE,-1.628905848308753,FALSE,FALSE
CYP20A1,FALSE,-1.2364526961581872,FALSE,FALSE
DLGAP5,TRUE,-3.407175381505873,FALSE,FALSE
PLCD3,TRUE,-2.0060064251792524,FALSE,FALSE
CDC42EP3,TRUE,-3.1995900154287455,FALSE,FALSE
BOLA3,TRUE,-0.2188841526794206,FALSE,FALSE
IDI2,TRUE,8.934870291192027,TRUE,TRUE
PTPN4,TRUE,-0.1069152039165119,FALSE,FALSE
DLST,FALSE,-1.1188520553888324,FALSE,FALSE
ABCD4,TRUE,-0.3829962924456895,FALSE,FALSE
RNF149,TRUE,-1.123348088916397,FALSE,FALSE
ERCC3,FALSE,-1.5093440482773215,FALSE,FALSE
IWS1,TRUE,-1.3010774233053133,FALSE,FALSE
FAM171A1,FALSE,-1.7644463305883131,FALSE,FALSE
MYL5,TRUE,-2.4239578775350847,FALSE,FALSE
CYB561,FALSE,-3.974941302399577,FALSE,FALSE
PPIL3,TRUE,-1.0005260510690512,FALSE,FALSE
PDSS1,FALSE,-2.280888070646592,FALSE,FALSE
MSRB2,FALSE,-3.2812861103900164,FALSE,FALSE
SPAG9,TRUE,-0.7751265891597972,FALSE,FALSE
PLEKHA2,FALSE,-2.268469571352023,FALSE,FALSE
RSU1,FALSE,-2.124921174890059,FALSE,FALSE
TMEM236,TRUE,6.604367899893749,TRUE,TRUE
TM2D2,TRUE,-2.7234956629405516,FALSE,FALSE
FAM188A,TRUE,-1.6150573558694812,FALSE,FALSE
IFITM3,FALSE,-2.4535655061958774,FALSE,FALSE
RP11-126K1.2,FALSE,1.0365699674980744,TRUE,FALSE
USP6NL,TRUE,0.5652304355969718,FALSE,FALSE
PROSER2,FALSE,-5.463702056015525,FALSE,FALSE
SDC2,FALSE,-3.379930134190079,FALSE,FALSE
COQ6,TRUE,-0.21572869105543727,FALSE,FALSE
ZNF410,FALSE,-1.4837426379436276,FALSE,FALSE
C3orf38,TRUE,-0.09692378475107295,FALSE,FALSE
EIF2B2,TRUE,-1.6440729571165629,FALSE,FALSE
COMMD3,FALSE,-4.430654413910106,FALSE,FALSE
NRDE2,TRUE,-1.5218229119091462,FALSE,FALSE
SLIRP,FALSE,-1.7692774612339384,FALSE,FALSE
UBA6,TRUE,-1.0235836071489897,FALSE,FALSE
HIVEP1,FALSE,-1.5258024784224973,FALSE,FALSE
RBM25,TRUE,-0.39129573198642154,FALSE,FALSE
AKAP11,TRUE,-1.353197844874318,FALSE,FALSE
MUL1,TRUE,-3.0868136365860424,FALSE,FALSE
C5orf30,TRUE,-3.8979795417011225,FALSE,FALSE
RASAL2,TRUE,-0.6422345800077043,FALSE,FALSE
DPM2,FALSE,-2.4246578482844106,FALSE,FALSE
N4BP2L2,FALSE,-1.1078694725264706,FALSE,FALSE
CCDC13,FALSE,3.26136365284928,TRUE,FALSE
BAZ1A,FALSE,0.14467250368943899,FALSE,FALSE
NOTCH1,FALSE,-0.9323102608994331,FALSE,FALSE
ZFAND6,TRUE,-2.2558834864057955,FALSE,FALSE
NDFIP2,TRUE,-1.4842267480430456,FALSE,FALSE
NACC2,FALSE,-4.079565216267923,FALSE,FALSE
RP11-834C11.11,TRUE,2.6470234688534076,TRUE,TRUE
ARHGEF25,FALSE,-2.5729379683600184,FALSE,FALSE
NUCB2,FALSE,-4.4241662888181,FALSE,FALSE
DPH7,TRUE,-2.3997476282542487,FALSE,FALSE
KIAA1328,TRUE,0.4491857216906894,FALSE,FALSE
SEC16A,FALSE,-1.5725368744965365,FALSE,FALSE
TCOF1,FALSE,-1.8462552722507866,FALSE,FALSE
